26911 300
5 160 4
5 161 6
5 162 10
5 164 3
5 166 10
5 167 1
5 170 2
5 171 6
5 172 10
5 173 10
5 174 8
5 175 10
5 177 2
5 179 7
5 180 1
5 181 2
5 182 4
5 184 9
5 185 4
5 186 8
5 187 5
5 189 10
5 190 1
5 194 5
5 200 8
5 201 9
5 203 5
5 204 4
5 206 9
5 210 4
5 212 5
5 213 6
5 214 1
5 216 2
5 217 3
5 218 9
5 220 10
5 224 8
5 226 1
5 227 8
5 228 9
5 229 5
5 233 8
5 234 7
5 235 8
5 239 3
5 240 5
5 241 4
5 242 9
5 243 8
5 245 7
5 246 7
5 247 5
5 248 8
5 250 1
5 251 4
5 252 5
5 253 8
5 255 2
5 257 6
5 258 5
5 263 7
5 264 1
5 267 9
5 271 5
5 272 7
5 277 2
5 279 8
5 280 2
5 281 4
5 282 1
5 284 7
5 287 1
5 290 3
5 291 8
5 292 5
5 293 9
5 294 8
5 295 6
5 296 5
5 297 9
5 299 2
6 7 3
6 8 3
6 9 6
6 11 9
6 12 1
6 13 2
6 19 8
6 22 9
6 26 7
6 27 3
6 28 2
6 30 2
6 32 7
6 33 8
6 34 1
6 35 1
6 40 7
6 41 4
6 43 10
6 44 9
6 51 10
6 52 6
6 53 10
6 54 4
6 56 9
6 58 2
6 59 9
6 61 9
6 62 7
6 63 3
6 64 9
6 65 4
6 66 10
6 67 9
6 68 3
6 69 7
6 70 5
6 71 3
6 74 4
6 77 6
6 79 3
6 80 5
6 82 10
6 84 10
6 85 2
6 86 3
6 87 6
6 89 1
6 90 6
6 91 3
6 93 5
6 94 1
6 95 10
6 100 5
6 101 8
6 103 3
6 104 9
6 105 2
6 106 3
6 107 4
6 109 10
6 110 1
6 115 2
6 116 5
6 117 9
6 118 1
6 119 3
6 120 8
6 122 3
6 124 2
6 125 3
6 126 7
6 128 8
6 130 7
6 131 9
6 132 6
6 133 2
6 134 9
6 135 9
6 137 5
6 138 5
6 140 4
6 141 7
6 142 10
6 143 8
6 144 1
6 145 7
6 146 6
6 147 4
6 148 6
6 155 4
6 156 5
6 157 4
6 158 5
6 159 2
6 160 7
6 161 7
6 164 10
6 166 4
6 167 5
6 168 9
6 169 1
6 170 2
6 173 7
6 177 4
6 180 8
6 181 8
6 182 3
6 185 5
6 187 5
6 188 1
6 189 7
6 190 4
6 191 10
6 192 8
6 193 3
6 196 8
6 198 5
6 199 1
6 200 10
6 201 9
6 202 2
6 203 6
6 206 1
6 207 8
6 209 3
6 213 9
6 217 10
6 221 8
6 222 4
6 223 3
6 227 2
6 228 1
6 230 2
6 231 1
6 232 6
6 234 8
6 235 4
6 239 6
6 240 7
6 241 8
6 242 10
6 243 5
6 244 10
6 247 4
6 249 5
6 251 5
6 252 6
6 253 1
6 254 2
6 256 9
6 258 3
6 259 3
6 260 8
6 262 5
6 263 5
6 264 5
6 266 6
6 267 5
6 269 9
6 270 5
6 271 8
6 274 10
6 275 9
6 277 10
6 278 5
6 282 1
6 285 1
6 286 8
6 288 8
6 290 7
6 291 10
6 292 7
6 293 3
6 296 6
6 297 7
6 298 1
7 8 3
7 9 3
7 16 2
7 17 10
7 18 3
7 20 5
7 21 3
7 22 1
7 24 3
7 26 6
7 27 9
7 30 1
7 33 6
7 34 1
7 36 5
7 37 9
7 38 4
7 42 1
7 43 9
7 44 3
7 46 5
7 47 6
7 48 4
7 49 4
7 50 3
7 51 6
7 52 10
7 53 6
7 54 5
7 55 3
7 56 10
7 58 10
7 60 6
7 62 9
7 63 3
7 65 9
7 67 7
7 68 9
7 71 4
7 72 5
7 73 8
7 74 9
7 75 7
7 78 3
7 79 10
7 80 2
7 81 2
7 83 8
7 84 10
7 85 1
7 87 7
7 88 9
7 89 4
7 90 8
7 95 3
7 97 2
7 98 1
7 99 8
7 101 1
7 102 7
7 103 10
7 104 5
7 105 8
7 106 1
7 107 3
7 108 8
7 109 3
7 110 2
7 112 6
7 114 10
7 115 7
7 116 5
7 117 6
7 118 4
7 120 4
7 122 10
7 123 1
7 124 2
7 126 9
7 127 7
7 128 1
7 129 6
7 130 9
7 132 7
7 133 3
7 134 2
7 135 4
7 136 6
7 137 5
7 138 10
7 139 10
7 140 1
7 141 5
7 145 1
7 148 8
7 150 4
7 152 5
7 153 6
7 154 9
7 157 9
7 159 3
7 161 1
7 164 9
7 166 7
7 167 5
7 168 6
7 169 3
7 176 10
7 177 2
7 178 8
7 182 1
7 183 8
7 184 5
7 187 1
7 189 9
7 192 4
7 194 1
7 195 3
7 196 6
7 197 1
7 198 10
7 201 1
7 202 3
7 204 7
7 206 2
7 207 8
7 209 5
7 210 9
7 211 3
7 212 8
7 213 8
7 215 9
7 217 8
7 218 2
7 219 1
7 220 9
7 223 9
7 225 6
7 226 5
7 231 4
7 232 10
7 233 4
7 234 6
7 235 3
7 236 7
7 237 1
7 241 8
7 243 2
7 246 2
7 247 9
7 249 9
7 252 2
7 253 3
7 254 8
7 257 2
7 259 2
7 260 9
7 261 10
7 262 8
7 263 8
7 266 1
7 267 8
7 268 4
7 270 6
7 273 7
7 274 7
7 278 10
7 280 8
7 281 2
7 284 5
7 285 5
7 286 3
7 287 9
7 289 5
7 290 8
7 291 1
7 292 6
7 293 1
7 294 5
7 295 4
7 297 8
7 298 8
7 299 10
8 9 9
8 11 4
8 12 10
8 13 6
8 15 4
8 17 1
8 18 9
8 19 5
8 22 1
8 24 4
8 27 7
8 28 2
8 33 8
8 36 10
8 39 10
8 40 4
8 41 10
8 42 5
8 43 9
8 44 5
8 45 3
8 46 3
8 48 7
8 49 1
8 50 6
8 51 8
8 52 1
8 53 9
8 54 9
8 56 10
8 57 9
8 58 4
8 63 1
8 65 8
8 70 2
8 74 2
8 75 2
8 76 10
8 77 1
8 78 10
8 79 7
8 80 4
8 82 2
8 83 3
8 86 3
8 91 9
8 92 4
8 95 6
8 96 10
8 97 2
8 99 8
8 100 4
8 101 8
8 105 5
8 108 8
8 109 9
8 111 1
8 116 6
8 119 10
8 122 9
8 123 7
8 125 9
8 128 4
8 129 8
8 135 6
8 136 9
8 139 9
8 141 2
8 142 4
8 144 6
8 146 9
8 149 6
8 150 7
8 152 4
8 153 4
8 154 9
8 155 3
8 156 5
8 157 1
8 158 3
8 160 9
8 161 1
8 164 7
8 165 5
8 169 4
8 170 6
8 171 10
8 174 2
8 175 9
8 178 3
8 179 9
8 180 8
8 182 9
8 184 8
8 186 6
8 187 5
8 192 4
8 198 10
8 199 6
8 200 9
8 201 8
8 204 1
8 205 9
8 206 4
8 207 1
8 212 7
8 214 1
8 216 4
8 217 7
8 218 3
8 219 10
8 221 2
8 222 9
8 224 3
8 225 9
8 229 5
8 230 6
8 231 9
8 232 1
8 233 1
8 234 4
8 237 2
8 238 8
8 241 9
8 246 8
8 248 8
8 249 6
8 250 8
8 251 4
8 252 10
8 253 10
8 256 7
8 259 8
8 260 1
8 261 6
8 265 8
8 266 6
8 267 7
8 269 1
8 271 10
8 273 2
8 274 5
8 276 8
8 278 4
8 281 6
8 282 10
8 284 3
8 285 9
8 286 4
8 287 1
8 288 5
8 291 1
8 292 2
8 294 8
8 297 6
8 298 6
8 299 5
9 11 8
9 16 9
9 17 3
9 20 1
9 21 8
9 24 6
9 27 4
9 28 10
9 29 8
9 30 1
9 32 1
9 33 5
9 35 9
9 37 7
9 38 2
9 39 8
9 40 7
9 43 3
9 44 4
9 45 2
9 47 3
9 49 7
9 50 7
9 51 2
9 52 4
9 53 8
9 54 8
9 57 3
9 58 6
9 59 6
9 60 5
9 61 4
9 62 6
9 63 4
9 64 4
9 66 2
9 67 6
9 68 3
9 70 3
9 76 9
9 77 7
9 79 8
9 81 7
9 82 3
9 84 10
9 87 1
9 90 4
9 91 9
9 94 9
9 96 9
9 97 5
9 98 5
9 99 8
9 101 4
9 106 6
9 107 5
9 109 8
9 113 8
9 116 4
9 123 9
9 126 8
9 127 4
9 128 3
9 129 2
9 135 6
9 137 3
9 139 4
9 140 3
9 141 4
9 142 3
9 143 8
9 147 6
9 150 10
9 151 2
9 152 1
9 153 9
9 154 7
9 155 8
9 158 9
9 159 2
9 161 3
9 163 8
9 164 3
9 166 1
9 167 7
9 168 9
9 170 9
9 172 9
9 173 9
9 174 5
9 175 9
9 180 5
9 181 10
9 182 4
9 183 9
9 184 5
9 185 6
9 186 3
9 187 10
9 188 4
9 190 7
9 193 5
9 194 7
9 195 7
9 196 2
9 198 1
9 200 2
9 201 1
9 203 6
9 204 9
9 205 10
9 206 3
9 207 9
9 209 10
9 210 10
9 213 1
9 215 10
9 216 9
9 217 5
9 218 3
9 219 5
9 220 2
9 222 2
9 223 1
9 224 3
9 225 4
9 226 3
9 229 8
9 230 1
9 231 2
9 234 6
9 235 6
9 236 6
9 237 6
9 238 3
9 241 9
9 243 4
9 245 7
9 246 6
9 248 7
9 249 6
9 252 3
9 256 4
9 257 6
9 259 10
9 260 3
9 262 5
9 263 10
9 264 10
9 265 1
9 266 4
9 271 4
9 272 8
9 273 7
9 275 6
9 276 4
9 277 1
9 278 4
9 280 8
9 282 6
9 283 4
9 284 4
9 285 4
9 287 3
9 288 7
9 289 5
9 290 7
9 293 4
9 294 10
9 295 2
9 297 8
9 299 4
10 11 7
10 13 2
10 14 1
10 15 1
10 16 8
10 17 5
10 19 3
10 21 4
10 22 3
10 23 9
10 24 1
10 28 4
10 29 9
10 30 5
10 31 1
10 32 9
10 33 6
10 35 9
10 36 8
10 39 2
10 40 8
10 41 3
10 42 1
10 45 4
10 46 1
10 50 7
10 52 5
10 54 5
10 56 8
10 57 1
10 58 4
10 59 1
10 62 10
10 63 10
10 64 3
10 65 5
10 66 5
10 68 9
10 69 3
10 73 7
10 74 3
10 75 2
10 79 6
10 80 4
10 81 3
10 83 2
10 84 2
10 85 6
10 88 6
10 89 6
10 91 1
10 92 5
10 93 6
10 95 8
10 96 3
10 97 8
10 98 8
10 99 3
10 100 10
10 101 1
10 102 4
10 103 3
10 104 2
10 105 9
10 106 5
10 107 3
10 108 1
10 109 1
10 110 4
10 111 3
10 115 2
10 118 2
10 119 1
10 120 10
10 121 9
10 122 6
10 125 4
10 126 9
10 128 8
10 130 6
10 131 8
10 132 8
10 134 1
10 135 8
10 136 7
10 137 7
10 138 4
10 144 9
10 146 6
10 147 1
10 149 4
10 150 1
10 151 6
10 152 5
10 154 7
10 155 6
10 156 8
10 158 4
10 159 3
10 160 4
10 162 6
10 163 3
10 164 6
10 165 9
10 167 8
10 168 4
10 169 4
10 172 5
10 174 7
10 177 5
10 178 10
10 179 10
10 180 4
10 181 4
10 182 9
10 183 5
10 184 7
10 185 3
10 187 7
10 188 4
10 190 5
10 192 8
10 194 5
10 195 5
10 196 9
10 198 1
10 199 5
10 201 9
10 203 9
10 204 5
10 205 8
10 206 4
10 207 3
10 208 10
10 210 10
10 212 9
10 213 7
10 214 9
10 215 1
10 216 4
10 217 6
10 218 8
10 219 3
10 220 7
10 222 8
10 223 5
10 224 1
10 225 9
10 226 2
10 227 6
10 230 7
10 234 9
10 235 6
10 236 6
10 237 6
10 238 6
10 240 8
10 242 5
10 244 1
10 245 9
10 250 7
10 251 4
10 252 5
10 253 2
10 255 9
10 256 3
10 257 8
10 258 3
10 260 9
10 263 8
10 264 8
10 267 5
10 269 3
10 271 9
10 274 7
10 275 2
10 278 2
10 279 1
10 281 5
10 284 6
10 285 6
10 286 8
10 288 1
10 289 2
10 290 5
10 291 7
10 293 6
10 294 8
10 297 8
10 299 8
11 12 10
11 15 4
11 16 5
11 17 6
11 18 3
11 20 10
11 22 5
11 23 5
11 24 8
11 25 3
11 27 1
11 28 1
11 33 4
11 34 1
11 36 2
11 39 8
11 40 4
11 41 7
11 43 8
11 46 6
11 48 3
11 49 1
11 50 5
11 51 9
11 52 1
11 54 1
11 55 8
11 57 7
11 61 2
11 63 8
11 65 2
11 67 5
11 69 4
11 70 2
11 71 6
11 72 3
11 76 2
11 80 6
11 81 4
11 83 6
11 86 1
11 87 4
11 91 7
11 92 10
11 93 4
11 94 8
11 95 6
11 96 5
11 98 6
11 99 10
11 100 4
11 102 3
11 106 3
11 110 8
11 111 5
11 112 1
11 117 1
11 119 9
11 120 5
11 122 5
11 125 3
11 129 2
11 130 1
11 132 3
11 133 5
11 136 2
11 139 2
11 141 1
11 142 4
11 144 1
11 146 6
11 149 3
11 150 9
11 152 1
11 154 10
11 155 1
11 157 2
11 158 3
11 161 5
11 163 1
11 165 3
11 167 2
11 170 5
11 172 3
11 173 2
11 175 6
11 177 3
11 178 7
11 180 2
11 181 3
11 182 6
11 183 4
11 187 9
11 188 1
11 190 9
11 191 1
11 193 9
11 194 8
11 195 8
11 197 10
11 199 3
11 205 5
11 207 6
11 212 1
11 215 7
11 216 6
11 217 7
11 220 10
11 221 2
11 222 10
11 225 7
11 226 10
11 228 5
11 230 1
11 232 5
11 233 6
11 234 1
11 238 10
11 239 7
11 240 4
11 241 8
11 242 7
11 245 6
11 246 2
11 248 8
11 249 9
11 250 3
11 251 6
11 253 1
11 254 10
11 256 8
11 257 5
11 258 2
11 259 3
11 262 1
11 263 9
11 264 10
11 265 3
11 268 6
11 273 6
11 274 4
11 276 10
11 277 7
11 278 8
11 279 5
11 280 9
11 281 10
11 282 5
11 285 7
11 286 4
11 287 1
11 289 10
11 290 2
11 293 9
11 298 7
12 13 4
12 14 3
12 15 8
12 16 8
12 17 6
12 19 7
12 20 7
12 22 1
12 23 9
12 24 3
12 25 3
12 26 10
12 28 7
12 29 1
12 30 2
12 32 2
12 33 9
12 34 6
12 35 10
12 37 2
12 39 3
12 41 9
12 44 2
12 46 10
12 47 8
12 48 3
12 49 7
12 50 6
12 51 7
12 55 5
12 56 8
12 57 5
12 59 9
12 61 2
12 66 3
12 68 9
12 69 8
12 72 7
12 74 1
12 75 6
12 76 3
12 77 3
12 78 10
12 80 1
12 81 4
12 83 7
12 85 10
12 86 3
12 89 5
12 91 8
12 92 1
12 94 6
12 97 7
12 98 6
12 99 9
12 101 5
12 103 9
12 104 2
12 105 6
12 109 2
12 111 5
12 115 2
12 117 9
12 118 10
12 119 10
12 121 7
12 125 7
12 128 5
12 129 3
12 131 4
12 132 10
12 133 5
12 134 7
12 135 1
12 138 9
12 139 3
12 140 9
12 142 10
12 144 6
12 145 3
12 146 10
12 149 7
12 151 10
12 154 10
12 155 1
12 156 7
12 158 6
12 159 6
12 162 1
12 163 8
12 165 2
12 167 5
12 168 10
12 170 5
12 171 6
12 172 6
12 173 3
12 175 7
12 177 4
12 178 8
12 180 8
12 185 1
12 189 1
12 190 7
12 191 1
12 192 5
12 193 2
12 194 9
12 195 8
12 196 3
12 198 10
12 199 1
12 200 1
12 201 2
12 203 5
12 205 3
12 206 2
12 210 3
12 212 3
12 213 8
12 217 1
12 218 2
12 220 1
12 223 9
12 224 5
12 225 8
12 229 5
12 231 4
12 233 2
12 234 5
12 236 3
12 237 7
12 240 1
12 241 5
12 244 8
12 245 1
12 246 8
12 247 9
12 248 7
12 249 4
12 250 1
12 252 6
12 256 6
12 257 5
12 265 3
12 266 7
12 267 7
12 270 4
12 271 3
12 272 2
12 274 5
12 276 3
12 277 6
12 278 9
12 280 1
12 282 9
12 283 6
12 284 5
12 285 9
12 286 2
12 287 5
12 289 7
12 290 1
12 291 7
12 293 8
12 294 8
12 295 8
12 297 1
12 298 4
12 299 7
13 15 9
13 17 10
13 18 7
13 20 4
13 22 2
13 24 10
13 25 2
13 28 7
13 30 2
13 31 9
13 32 10
13 33 5
13 34 7
13 35 2
13 36 9
13 37 4
13 38 2
13 39 6
13 43 10
13 44 2
13 45 1
13 46 2
13 47 3
13 48 6
13 50 3
13 53 8
13 54 8
13 55 5
13 56 4
13 58 1
13 59 1
13 60 8
13 61 3
13 63 2
13 64 10
13 66 5
13 67 6
13 68 2
13 69 2
13 70 4
13 71 1
13 72 3
13 73 6
13 74 2
13 76 9
13 77 9
13 78 4
13 82 6
13 83 4
13 84 9
13 85 9
13 86 9
13 87 5
13 88 3
13 90 3
13 93 5
13 94 6
